iter	Passed	Remaining
0	1	105
1	1	89
2	2	80
3	3	72
4	4	87
5	5	89
6	8	106
7	9	104
8	9	99
9	10	95
10	11	91
11	12	88
12	12	84
13	13	81
14	13	78
15	14	77
16	15	75
17	16	73
18	17	76
19	19	77
20	20	76
21	21	77
22	23	77
23	23	75
24	24	73
25	25	71
26	25	69
27	26	68
28	27	66
29	28	65
30	28	63
31	29	63
32	31	63
33	31	62
34	33	62
35	34	62
36	36	61
37	36	60
38	37	58
39	38	57
40	39	56
41	39	54
42	39	52
43	40	51
44	41	50
45	43	50
46	44	50
47	45	49
48	46	48
49	47	47
50	48	46
51	49	45
52	50	44
53	50	43
54	51	41
55	51	40
56	52	39
57	53	38
58	53	37
59	54	36
60	55	35
61	56	34
62	58	34
63	59	33
64	60	32
65	61	31
66	62	30
67	62	29
68	63	28
69	64	27
70	64	26
71	65	25
72	66	24
73	66	23
74	68	22
75	69	21
76	70	21
77	71	20
78	72	19
79	73	18
80	74	17
81	74	16
82	75	15
83	76	14
84	76	13
85	77	12
86	77	11
87	78	10
88	79	9
89	80	8
90	82	8
91	84	7
92	85	6
93	86	5
94	86	4
95	87	3
96	88	2
97	88	1
98	89	0
99	90	0
